CleanTitle,country
parenthood - minha família,US
better call saul,US
breaking bad,US
stranger things,US
titãs,US
eu não sou mendoza,MX
ginny e georgia,US
você,CN
alquimia das almas,KR
alice in borderland,JP
intensivão de amor,KR
black mirror,GB
sorriso real,KR
strong girl nam-soon,KR
samurai x,JP
beijo explosivo,KR
garota de fora,TH
quando o telefone toca,KR
dexter,US
arcane,US
sandman,US
recruta,US
love alarm,KR
love 101,TR
the rising of the shield hero,JP
one-punch man,JP
classe dos heróis fracos,KR
casamento às cegas,US
"bon appétit, vossa majestade",KR
"novo rico, novo pobre",CO
"com carinho, kitty",US
"love, death & robots",US
ninguém quer,US
um espião infiltrado,US
assassinato na casa branca,US
corpos,US
wandinha,US
1899,DE
hierarchy,US
caleidoscópio,US
um homem sem filtros,KR
sobrevivendo em grande estilo,US
escola dos romances proibidos,JP
absentia,US
eu odeio natal,IT
dept. q,GB
dept. q,US
safe,GB
bem-vindos à vizinhança,US
indomável,US
geek girl,GB
terra indomável,US
os abandonados,US
o gabinete de curiosidades de guillermo del toro,US
isso é um bolo? vamos celebrar!,US
eu nunca...,US
naruto shippuden,JP
the good place,US
sereias,US
depois da cabana,DE
dra. cha,KR
as quatro estações do ano,US
se avexe não,BR
cidade de sombras,ES
como um relâmpago,US
feliz natal e tal,US
onimusha,JP
meu demônio favorito,KR
the rookie,US
devil may cry,US
era uma vez em... hollywood,CN
era uma vez em... hollywood,GB
era uma vez em... hollywood,US
amor no escritório,MX
fubar,US
kleo,DE
vivo ou morto,US
prenda-me se for capaz,US
doona!,KR
a queda da casa de usher,US
isso é um bolo? halloween,US
néro,FR
gilmore girls,US
glass onion,US
o mundo depois de nós,US
onze homens e um segredo,US
era uma vez... um baile de natal,CA
era uma vez... um baile de natal,US
camaleões,MX
o pálido olho azul,US
talamasca,US
the old guard,US
a lista da minha vida,US
sombra e ossos,US
garota do século 20,KR
de repente uma família,US
french lover,FR
o assassino,KR
passei por aqui,GB
sombra lunar,US
sombra lunar,CA
os irregulares de baker street,GB
anjos da lei,US
um match surpresa,US
hanna,US
desobedientes,CA
a paris errada,US
"se beber, não case",US
arrested development,US
cartão de natal,US
"se beber, não case! parte ii",US
"se beber, não case! parte ii",TH
nosso segredinho,US
"se beber, não case! parte iii",US
the sinner,US
caramelo,BR
five nights at freddy's,US
baki - o campeão,JP
um natal ex-pecial,US
uma quedinha de natal,US
uma advogada brilhante,BR
os bad boas,NL
trocados,US
katla,IS
não fale com estranhos,GB
borbulhas de amor,US
borbulhas de amor,FR
minions,US
feliz assalto!,US
feliz assalto!,GB
quem vai salvar o natal? 2,ES
the umbrella academy,US
meio grávida,US
ele acredita em papai noel!,US
natal com você,US
o segredo do papai noel,US
uma mulher sem filtro,BR
o preço da família,IT
o preço da família,US
dna do crime,BR
operação beijo de natal,US
operação beijo de natal,CA
um milagre de natal para daisy,US
no ritmo do natal,US
"os seus, os meus e os nossos",US
guerra e revolta,KR
monstro,US
"família, pero no mucho",BR
o melhor. natal. de todos!,US
caso de polícia,US
27 noites,AR
rebel moon - parte 1,US
altered carbon,US
o poço 2,ES
até o último samurai,JP
mask girl,KR
mindhunter,US
samurai de olhos azuis,US
mashle,JP
round 6,KR
anon,US
anon,GB
godless,US
leanne,US
missa da meia-noite,US
warrior nun,US
ela disse talvez,DE
ela disse talvez,TR
killing eve,US
yellowstone,US
invasão de lua de mel,FR
hunter x hunter,JP
luther,GB
locke & key,US
além do direito,KR
inacreditável,US
suits,US
avatar,US
doze homens e outro segredo,US
7seeds,JP
deadwind,FI
o preço da herança da vovó,IT
halo,US
adolescência,GB
adolescência,US
sintonia de natal,US
o monstro em mim,US
eric,GB
uma advogada extraordinária,KR
nonnas,US
mistério no mediterrâneo,US
7 mulheres e um mistério,IT
se a vida te der tangerinas…,KR
garotos detetives mortos,US
o cuco de cristal,ES
"toc - transtornada, obsessiva, compulsiva",BR
rojst,PL
seinfeld,US
tudo em família,US
um amor feito de neve,US
um amor feito de neve,CA
ripley,US
my hero academia,JP
entre facas e segredos,US
a love so beautiful,TH
o príncipe dragão,US
tougen anki,JP
invejosa,AR
sonhos de trem,US
house of guinness,GB
o clube do crime das quintas-feiras,US
o sangue de zeus,US
uma segunda chance para amar,GB
o problema dos 3 corpos,US
supermães,CA
dark winds,US
one piece,US
disque amiga para matar,US
o eternauta,AR
machos alfa,ES
os ratos,US
os ratos,PL
o cisne,US
o cisne,IE
dungeon meshi,JP
baki hanma,JP
a mulher na cabine 10,GB
vingança & castigo,US
treta,US
a maldição da residência hill,US
a killer paradox,KR
dupla jornada,US
sem piedade,KR
clickbait,US
adoráveis mulheres,US
manifest,US
a grande ilusão,GB
realeza,JP
a criatura de gyeongseong,KR
pluto,JP
oats studios,US
tomb raider,JP
tomb raider,GB
tomb raider,US
the witcher,US
kill bill,US
encomenda para o natal,PL
expresso do amanhã,US
que chegue a você,JP
a maldição da mansão bly,US
parasita,KR
madea e o casamento nas bahamas,US
kengan ashura,JP
crepúsculo dos deuses,US
power,US
amor e batatas,KR
record of ragnarok,JP
romance is a bonus book,KR
os assassinatos de åre,SE
antracite,FR
solar opposites,US
o domo de vidro,SE
o ritmo da vingança,ES
o ritmo da vingança,GB
o ritmo da vingança,US
hellboy,BG
hellboy,US
hellboy,FR
natal sob a aurora boreal,CA
natal sob a aurora boreal,US
1883,US
homeland,US
brick,DE
jujutsu kaisen,JP
kurukshetra,IN
terra de pecados,SE
seis punhos,US
black clover,JP
os segredos de manscheid,LU
fate/apocrypha,JP
tudo bem no natal que vem,BR
borboletas negras,FR
the killer,US
o troll da montanha 2,NO
você estava lá,KR
perdidos no espaço,US
marcella,GB
guerreiras do k-pop,US
the last kingdom,GB
reforma com romance,CA
desejo de matar,US
sobrenatural,MX
juntos e misturados,US
dr.stone,JP
dark,DE
reunião de família,US
náufrago,US
the ballad of buster scruggs,US
lupin,FR
the old guard 2,US
o homem das castanhas,DK
ozark,US
duas covas,ES
the oa,US
bodkin,US
vinland saga,JP
boots,US
casa de dinamite,US
Expresso do amanha,US
Truque de mestre O segundo ato,HK
Truque de mestre O segundo ato,US
El Camino,US
Jogador N1,US
Truque de mestre,US
3%,US
O pacote,BR
Shazam,US
O cavaleiro das trevas,GB
O cavaleiro das trevas,US
Desencanto,US
The end of the fucking world,GB
The good place,US
Rick and morty,US
Cowboy Bebop,JP
The midnight Gospel,US
Lupin,FR
De volta para o Futuro,US
Sex education,GB
Você,CN
Trem-bala,US
La casa de Papel,ES
Corra,US
Pulp Fiction,US
Bastardos inglórios,DE
Bastardos inglórios,US
Narcos,US
Como vender drogas online (rápido),DE
Bojack Horseman,US
Diário de um banana,GB
Diário de um banana,US
Uma noite no Museu,US
Uma noite no Museu,GB
Uma aventura lego,AU
Uma aventura lego,DK
Uma aventura lego,US
O incrível mundo de gumball,DE
O incrível mundo de gumball,US
O incrível mundo de gumball,IE
O incrível mundo de gumball,GB
Shrek 2,US
Cyberpunk: edgerunners,JP
"Baki, o campeão",JP
Cães de guerra,US
Fall guy,US
A rede social,US
Prison Break,US
The walking dead,US
O regresso,FR
O regresso,JP
O regresso,US
O regresso,GB
O regresso,DE
As vantagens de ser invisivel,US
Zumbilândia,US
Zumbilândia Atire duas vezes,US
Neon Genesis Evangelion,JP
O irlandês,US
Matrix,US
Matrix 2,US
Matrix 3,JP
Matrix 4,US
The umbrella academy,US
13 reasons why,US
Flash,US
Cobra kai,US
Tropa de elite,US
Batman Begins,GB
Batman Begins,US
Peaky Blinders,GB
Clube da Luta,DE
Clube da Luta,US
Donnie Darko,US
Blade Runner 2049,CA
Blade Runner 2049,GB
Blade Runner 2049,US
Interestelar,GB
Interestelar,US
O Lobo de Wall Street,US
Baby Driver,GB
Baby Driver,US
Brooklyn 99,US
Daredevil,CH
Daredevil,US
Django Livre,US
Akira,JP
John Wick,US
Nobody,US
Lost,US
Jessica Jones,US
Defensores,US
Luke Cage,US
Punho de ferro,US
Oppenheimer,GB
Oppenheimer,US
American Vandal,US
Dune 1,US
Dune 2,US
O povo,KR
8 mile,DE
8 mile,US
Para todos os garotos que já amei,US
Perdidos no Espaço,US
O menino que descobriu o vento,MW
O menino que descobriu o vento,GB
O menino que descobriu o vento,US
A ilha das rosas,IT
Mad Max estrada da fúria,AU
Mad Max estrada da fúria,US
O castelo animado,JP
Venom,CN
Venom,US
Sementes podres,FR
Atypical,US
Kakegurui,JP
Death Note,JP
I am not okay with this,US
O Gambito da rainha,US
Ozark,US
Suits,US
Amnésia,JP
O diabo de cada dia,US
Não olhe para cima,US
The seven deadly sins,JP
Atlanta,US
Gente Grande,US
Icarly,US
Na Natureza Selvagem,US
Fuja,US
Jumanji,US
Novocaine: a prova de dor,US
Agents of shield,US
The witcher,US
Daybreak,US
Escola de rock,US
Fullmetal Alchemist: Brotherhood,JP
Fullmetal Alchemist,JP
True Detective,US
