CleanTitle,genre
parenthood - minha família,Drama
better call saul,Crime
better call saul,Drama
breaking bad,Drama
breaking bad,Crime
stranger things,Sci-Fi & Fantasy
stranger things,Mystery
stranger things,Action & Adventure
titãs,Animation
titãs,Action & Adventure
titãs,Comedy
titãs,Family
titãs,Sci-Fi & Fantasy
eu não sou mendoza,Drama
eu não sou mendoza,Comedy
ginny e georgia,Comedy
ginny e georgia,Drama
você,Drama
alquimia das almas,Drama
alquimia das almas,Sci-Fi & Fantasy
alquimia das almas,Action & Adventure
alquimia das almas,Mystery
alice in borderland,Mystery
alice in borderland,Drama
alice in borderland,Action & Adventure
intensivão de amor,Drama
intensivão de amor,Comedy
black mirror,Sci-Fi & Fantasy
black mirror,Drama
black mirror,Mystery
sorriso real,Drama
sorriso real,Comedy
strong girl nam-soon,Comedy
strong girl nam-soon,Drama
strong girl nam-soon,Sci-Fi & Fantasy
strong girl nam-soon,Crime
samurai x,Action & Adventure
samurai x,Animation
samurai x,Comedy
beijo explosivo,Drama
beijo explosivo,Comedy
garota de fora,Drama
garota de fora,Mystery
garota de fora,Crime
quando o telefone toca,Drama
quando o telefone toca,Mystery
quando o telefone toca,Crime
dexter,Crime
dexter,Drama
dexter,Mystery
arcane,Animation
arcane,Action & Adventure
sandman,Sci-Fi & Fantasy
sandman,Drama
sandman,Action & Adventure
recruta,Drama
recruta,Crime
recruta,Action & Adventure
love alarm,Reality
love 101,Comedy
love 101,Drama
the rising of the shield hero,Animation
the rising of the shield hero,Action & Adventure
the rising of the shield hero,Sci-Fi & Fantasy
the rising of the shield hero,Drama
one-punch man,Animation
one-punch man,Comedy
one-punch man,Action & Adventure
one-punch man,Sci-Fi & Fantasy
classe dos heróis fracos,Action & Adventure
classe dos heróis fracos,Drama
casamento às cegas,Reality
"bon appétit, vossa majestade",Drama
"bon appétit, vossa majestade",Sci-Fi & Fantasy
"novo rico, novo pobre",Drama
"novo rico, novo pobre",Family
"novo rico, novo pobre",Comedy
"com carinho, kitty",Comedy
"com carinho, kitty",Drama
"love, death & robots",Animation
"love, death & robots",Sci-Fi & Fantasy
ninguém quer,Comedy
ninguém quer,Drama
um espião infiltrado,Comedy
um espião infiltrado,Crime
assassinato na casa branca,Comedy
corpos,Sci-Fi & Fantasy
corpos,Mystery
corpos,Drama
wandinha,Sci-Fi & Fantasy
wandinha,Mystery
wandinha,Comedy
1899,Mystery
1899,Drama
hierarchy,Action
hierarchy,Crime
hierarchy,Thriller
caleidoscópio,Crime
caleidoscópio,Drama
um homem sem filtros,Comedy
um homem sem filtros,Drama
sobrevivendo em grande estilo,Comedy
sobrevivendo em grande estilo,Drama
escola dos romances proibidos,Drama
absentia,Crime
absentia,Drama
absentia,Mystery
eu odeio natal,Comedy
eu odeio natal,Drama
dept. q,Drama
dept. q,Crime
dept. q,Mystery
safe,Drama
safe,Crime
safe,Mystery
