CleanTitle,Profile Name,WatchedTime,watched_time_dawn,watched_time_morning,watched_time_afternoon,watched_time_night,count_per_title,last_watched_date,first_watched_date,seg_views,ter_views,qua_views,qui_views,sex_views,sab_views,dom_views,jan_views,fev_views,mar_views,abr_views,mai_views,jun_views,jul_views,ago_views,set_views,out_views,nov_views,dez_views,netflix_title,title,genre_ids,poster_path,media_type,popularity,age_of_title,vote_average,vote_count,run_time,num_seasons,origin_country,keywords,director,content_rating,is_natalino,is_super_heroi,is_dorama,is_kids,is_dystopian,is_based_on_book,is_anime,nota,avg_duration_per_session,day_between
parenthood - minha família,Anas,3 days 01:06:54,1 days 05:25:54,0 days 01:06:34,0 days 05:33:49,1 days 13:00:37,185,,,48,34,19,35,17,18,14,0,0,0,0,0,0,0,42,59,46,17,21,parenthood - minha família,Parenthood - Minha Família,[18],https://image.tmdb.org/t/p/w500/v9dbPtRxWYj6Ch9kPerhks0XoH7.jpg,tv,29.2295,16,7.473,169,,6,['US'],"['big family', 'family drama']",-1,3,0,0,0,0,0,0,0,5.6,0 days 00:23:42.778378378,
better call saul,Léo,2 days 06:12:57,0 days 09:23:01,0 days 01:08:43,0 days 20:27:47,0 days 23:13:26,210,,,35,46,19,25,32,22,31,0,0,0,0,0,100,110,0,0,0,0,0,better call saul,Better Call Saul,"[80, 18]",https://image.tmdb.org/t/p/w500/9IPVuAjodjc2FYluWnNvRdOPsCR.jpg,tv,85.9996,11,8.705,6280,,6,['US'],"['new mexico', 'moral conflict', 'crooked lawyer', 'prequel', 'romance', 'dark comedy', 'family relationships', 'tragedy', 'lawyer', 'brother against brother', 'spin off', 'cynical', 'neo-western', 'albuquerque, new mexico', 'criminal lawyer', 'fall from grace', 'neo-noir', 'mexican cartel', 'legal drama', 'gritty', 'offbeat']",-1,5,0,0,0,0,0,0,0,5.6,0 days 00:15:29.414285714,
breaking bad,Anas,1 days 23:38:36,0 days 01:19:16,0 days 03:25:45,1 days 06:04:10,0 days 12:49:25,92,,,16,14,10,11,16,17,8,0,0,0,0,0,0,3,58,7,17,7,0,breaking bad,Breaking Bad,"[18, 80]",https://image.tmdb.org/t/p/w500/hGwm9Cj3CdbJIqQWNExQqiYmCd4.jpg,tv,167.0806,18,8.939,17328,,5,['US'],"['new mexico', 'drug dealer', 'narcissism', 'psychopath', 'terminal illness', 'outlaw', 'dark comedy', 'cancer', 'tragedy', 'drugs', 'criminal', 'meth lab', 'drug lord', 'high school teacher', 'dea agent', 'neo-western', 'narcissist', 'albuquerque, new mexico', 'criminal lawyer', 'fall from grace', 'cartel', 'mexican cartel', 'male egos', 'crystal meth', 'dark', 'methamphetamine', 'gritty', 'thriller', 'violent', 'tortured genius']",-1,5,0,0,0,0,0,0,0,2.0,0 days 00:31:04.304347826,
stranger things,Léo,1 days 21:27:03,0 days 13:00:23,0 days 02:40:21,0 days 14:51:00,0 days 14:55:19,127,,,10,38,14,26,17,11,11,2,0,0,0,0,0,0,0,0,0,93,32,stranger things,Stranger Things,"[10765, 9648, 10759]",https://image.tmdb.org/t/p/w500/twfKp60THrcOIep9sjHODOOfO8d.jpg,tv,162.6735,10,8.575,20850,,5,['US'],"['monster', 'small town', 'indiana, usa', 'experiment', 'halloween', 'friendship', 'supernatural', 'coming of age', 'parallel world', 'super power', 'government conspiracy', 'teen drama', '1980s', 'supernatural horror', 'red guards', 'teen horror', 'horror', 'depressing']",-1,3,0,1,0,0,0,0,0,3.0,0 days 00:21:28.370078740,
titãs,Anas,1 days 12:04:31,0 days 05:37:09,0 days 02:05:28,0 days 13:01:00,0 days 15:20:54,68,,,8,3,7,18,13,14,5,0,0,0,0,0,0,22,46,0,0,0,0,titãs,Titãs,"[18, 10759, 10765]",https://image.tmdb.org/t/p/w500/g6RUjZRd9PnmXQljLjsLLfuT6bP.jpg,tv,42.8889,8,7.876,2804,,4,['US'],"['secret identity', 'superhero', 'based on comic', 'superhero team', 'young heroes', 'teen superhero', 'gritty', 'adventure']",-1,5,0,1,0,0,0,1,0,5.6,0 days 00:31:49.867647058,
eu não sou mendoza,Anas,1 days 04:46:04,0 days 07:37:51,0 days 00:00:00,0 days 02:57:17,0 days 18:10:56,71,,,3,5,15,12,1,19,16,0,0,0,0,33,38,0,0,0,0,0,0,eu não sou mendoza,Eu Não Sou Mendoza,"[18, 35]",https://image.tmdb.org/t/p/w500/iikwhp7QhPrdmbchAmIVSYQIArq.jpg,tv,1.6295,1,7.714,14,,1,['MX'],"['doppelgänger', 'kidnapped']",-1,5,0,0,0,0,0,0,0,5.6,0 days 00:24:18.647887323,
ginny e georgia,Anas,1 days 03:45:58,0 days 10:36:01,0 days 01:19:38,0 days 05:05:13,0 days 10:45:06,51,,,10,2,15,5,6,8,5,0,0,0,0,0,2,49,0,0,0,0,0,ginny e georgia,Ginny e Georgia,"[35, 18]",https://image.tmdb.org/t/p/w500/uKval7QmEozy7R05FEvE3H9Qice.jpg,tv,27.7481,5,8.048,1761,,4,['US'],"['femme fatale', 'romance', 'neighbor', 'female protagonist', 'motorcycle gang', 'childhood sexual abuse', 'town mayor', 'teenage romance', 'teen drama', 'dramedy', 'abuse', 'self-harm', 'abusive boyfriend', 'defraud', 'mother daughter relationship', 'abused woman', 'guns', 'high school drama', 'abused child', 'gay theme', 'child sexual abuse', 'dramatic']",-1,3,0,0,0,0,0,0,0,5.6,0 days 00:32:39.960784313,
você,Anas,1 days 01:21:45,0 days 00:31:25,0 days 00:33:29,0 days 12:28:05,0 days 11:48:46,50,,,0,0,14,0,11,9,16,0,0,0,1,28,15,6,0,0,0,0,0,você,Você,"[9648, 80, 18]",https://image.tmdb.org/t/p/w500/ivqi64qY0S3ZAimvjlqXLEH7D6W.jpg,tv,63.1993,8,8.014,3840,,5,['US'],"['new york city', 'based on novel or book', 'jealousy', 'infidelity', 'cheating', 'obsession', 'female friendship', 'addiction', 'stalker', 'love', 'murder', 'serial killer', 'literary agent', 'psychological thriller', 'writer', 'relationship', 'fatal attraction', 'obsessive love', 'social media', 'voyeur', 'mind game', 'dark romance', 'dark', 'psychological', 'childhood memory', 'essay', 'thriller', 'bookstore']",-1,5,0,0,0,0,0,0,0,5.6,0 days 00:30:26.100000,
alquimia das almas,Jose,0 days 22:54:32,0 days 05:37:26,0 days 01:57:55,0 days 04:13:14,0 days 11:05:57,38,,,12,4,0,0,4,8,10,0,0,0,0,0,0,0,0,0,0,12,26,alquimia das almas,Alquimia das Almas,"[18, 10765, 10759, 9648]",https://image.tmdb.org/t/p/w500/1PmLJGwX61w32dlu4bwmxtizWwt.jpg,tv,22.9757,4,8.6,748,[75],2,['KR'],"['martial arts', 'assassin', 'hero', 'prince', 'secret organization', 'body exchange', 'supernatural', 'love', 'romance', 'female assassin', 'historical fiction', 'martial arts master', 'body-swap', 'alchemy', 'wizard', 'hidden identity', 'soul transference', 'cheerful girl', 'sentimental', 'hilarious', 'master apprentice relationship', 'awestruck']",-1,3,0,0,1,0,0,0,0,5.6,0 days 00:36:10.315789473,
alice in borderland,Anas,0 days 19:54:36,0 days 00:20:53,0 days 00:00:00,0 days 15:29:44,0 days 04:03:59,36,,,0,0,6,2,11,6,11,0,27,0,0,0,0,0,0,0,0,9,0,alice in borderland,Alice in Borderland,"[9648, 18, 10759]",https://image.tmdb.org/t/p/w500/i0i7kGDrArtM1sCd8niZDC7iboV.jpg,tv,33.7141,6,8.1,2626,,3,['JP'],"['fight', 'supernatural', 'survival', 'tokyo, japan', 'psychological thriller', 'game', 'based on graphic novel', 'quest', 'wonder', 'live action remake', 'suspenseful', 'brisk', 'urgent']",-1,5,0,0,0,0,0,1,0,5.6,0 days 00:33:11,
