CleanTitle,title,media_type,popularity
parenthood - minha família,Parenthood - Minha Família,tv,38.8553
better call saul,Better Call Saul,tv,87.9953
breaking bad,Breaking Bad,tv,132.4165
stranger things,Stranger Things,tv,166.1746
titãs,Os Jovens Titãs em Ação!,tv,74.3529
eu não sou mendoza,Eu Não Sou Mendoza,tv,1.003
ginny e georgia,Ginny e Georgia,tv,23.5356
você,Por Você,tv,126.4878
alquimia das almas,Alquimia das Almas,tv,25.5005
alice in borderland,Alice in Borderland,tv,39.2771
intensivão de amor,Intensivão de Amor,tv,8.219
black mirror,Black Mirror,tv,90.8173
sorriso real,Sorriso Real,tv,18.4021
strong girl nam-soon,Strong Girl Nam-soon,tv,10.1968
samurai x,Samurai X,tv,37.5556
beijo explosivo,Beijo Explosivo,tv,16.2299
garota de fora,Garota de Fora,tv,27.6073
quando o telefone toca,Quando o Telefone Toca,tv,11.2395
dexter,Dexter,tv,154.5557
arcane,Arcane,tv,51.1289
sandman,Sandman,tv,80.6824
recruta,Recruta,tv,12.9687
love alarm,Love Alarm Clap! Clap! Clap!,tv,2.0532
love 101,Love 101,tv,5.9769
the rising of the shield hero,The Rising of the Shield Hero,tv,20.5134
one-punch man,One-Punch Man,tv,37.0241
classe dos heróis fracos,Classe dos Heróis Fracos,tv,43.596
casamento às cegas,Casamento às Cegas,tv,12.6665
"bon appétit, vossa majestade","Bon Appétit, Vossa Majestade",tv,15.8179
"novo rico, novo pobre","Novo Rico, Novo Pobre",tv,2.0586
"com carinho, kitty","Com Carinho, Kitty",tv,36.7338
"love, death & robots","Love, Death & Robots",tv,38.8016
ninguém quer,Ninguém Quer,tv,13.2245
um espião infiltrado,Um Espião Infiltrado,tv,14.0483
assassinato na casa branca,Assassinato na Casa Branca,tv,10.3526
corpos,O Problema dos 3 Corpos,tv,42.5246
wandinha,Wandinha,tv,56.7648
1899,1899,tv,7.0066
hierarchy,Hierarquia do Crime,movie,9.6953
caleidoscópio,Caleidoscópio,tv,6.8934
um homem sem filtros,Um Homem Sem Filtros,tv,7.8423
sobrevivendo em grande estilo,Sobrevivendo em Grande Estilo,tv,5.9998
escola dos romances proibidos,Escola dos Romances Proibidos,tv,4.8847
absentia,Ausência,tv,23.5216
eu odeio natal,Eu Odeio Natal,tv,2.7452
dept. q,Dept. Q,tv,11.4466
safe,Safe,tv,5.1338
bem-vindos à vizinhança,Bem-Vindos à Vizinhança,tv,9.6808
indomável,Terra Indomável,tv,11.3217
geek girl,Geek Girl,tv,6.1059
os abandonados,Os Abandonados,tv,7.5256
o gabinete de curiosidades de guillermo del toro,O Gabinete de Curiosidades de Guillermo del Toro,tv,13.4433
isso é um bolo? vamos celebrar!,Isso é um Bolo? Vamos Celebrar!,tv,3.3019
eu nunca...,Eu Nunca...,tv,18.7599
naruto shippuden,Naruto Shippuden,tv,79.3936
the good place,The Good Place,tv,29.9818
sereias,Siren: A Lenda das Sereias,tv,41.7393
depois da cabana,Depois da Cabana,tv,4.8227
dra. cha,Dra. Cha,tv,5.5159
as quatro estações do ano,As Quatro Estações do Ano,tv,7.7907
se avexe não,Se Avexe Não,tv,0.9067
cidade de sombras,Cidade de Sombras,tv,10.1441
como um relâmpago,Como um Relâmpago,tv,7.9979
feliz natal e tal,Feliz Natal e Tal,tv,3.5393
onimusha,Onimusha,tv,4.88
meu demônio favorito,Meu Demônio Favorito,tv,22.506
the rookie,O Novato,tv,311.8969
