,netflix_title,title,genre_ids,poster_path,media_type,popularity,age_of_title,vote_average,vote_count,run_time,num_seasons,origin_country,keywords,director,content_rating,is_natalino,is_super_heroi,is_dorama,is_kids,is_dystopian,is_based_on_book,is_anime
0,Dick Johnson Is Dead,As Mortes de Dick Johnson,[99],https://image.tmdb.org/t/p/w500/7Gu8QodLefx66wEn5vHuTXZuEi3.jpg,movie,0.3649,6,7.112,138,89.0,,['US'],"['dying and death', 'biography', ""alzheimer's disease"", 'stuntman', 'father daughter relationship']",Kirsten Johnson,2,0,0,0,0,0,0,0
1,Blood & Water,Sangue e Água,[18],https://image.tmdb.org/t/p/w500/wYy8XSYQQAjgTT98qkR3WkeVsen.jpg,tv,4.5087,6,7.8,320,[48],4,['ZA'],"['south africa', 'friendship', 'high school', 'teen drama']",Nosipho Dumisa-Ngoasheng,5,0,0,0,0,0,0,0
2,Ganglands,Submundo do Crime,"[80, 10759]",https://image.tmdb.org/t/p/w500/8zSAxoPCzaNvugjeROqiMKRTyks.jpg,tv,6.2487,5,7.146,181,[45],2,['FR'],"['bank robber', 'love', 'criminal', 'armed robbery', 'drug', 'gang solves mystery']",Julien Leclercq,5,0,0,0,0,0,0,0
3,Jailbirds New Orleans,Irmãs de Cela: New Orleans,"[99, 10764]",https://image.tmdb.org/t/p/w500/pA7urHEBVDSJR7Cn7bANRbhwly7.jpg,tv,0.2529,5,5.583,6,[41],1,['US'],[],,-1,0,0,0,0,0,0,0
4,Kota Factory,A Fábrica de Kota,"[35, 18]",https://image.tmdb.org/t/p/w500/jONEEKjCIijgpowQBUoHza8g5iC.jpg,tv,3.974,7,8.1,110,[40],3,['IN'],"['competition', 'community', 'workplace', 'engineering', 'india', 'the viral fever', 'student']",Saurabh Khanna,3,0,0,0,0,0,0,0
5,Midnight Mass,Missa da Meia-Noite,"[9648, 18]",https://image.tmdb.org/t/p/w500/rka8ibtD6HayiEJmb6rns47lyAL.jpg,tv,6.6235,5,7.534,1147,,1,['US'],"['sheriff', 'island', 'drug dealer', 'vampire', 'addiction', 'alcoholism', 'priest', 'mysterious man', 'religion', 'church', 'ex-con', 'catholicism', 'fishing boat', 'shocking', 'complex', 'miracles', 'horror', 'intense']",Mike Flanagan,5,0,0,0,0,0,0,0
6,My Little Pony: A New Generation,My Little Pony: Nova Geração,"[16, 10751, 14, 35, 12]",https://image.tmdb.org/t/p/w500/gsd8CzmWi4daZbEvuH4rgWbu5yT.jpg,movie,2.1133,5,7.7,329,105,,"['CA', 'IE']","['flying horse', 'pony', 'unicorn']",José Luis Ucha,1,0,0,0,0,0,0,0
7,Sankofa,Sankofa,"[18, 14, 36, 878]",https://image.tmdb.org/t/p/w500/t5PTcnhZgHzL7HUZKQP95UQDD5o.jpg,movie,0.5102,33,5.6,14,124,,"['BF', 'ET', 'DE', 'GH', 'GB', 'US']","['africa', 'freedom', 'slavery']",Haile Gerima,-1,0,0,0,0,0,0,0
8,The Great British Baking Show,The Great British Bake Off,[10764],https://image.tmdb.org/t/p/w500/bG51CdS25evMAdilV4oYkQx5sGn.jpg,tv,8.3445,9,8.22,41,[60],9,['GB'],"['food', 'baking', 'reality competition']",Anna Beattie,-1,0,0,0,0,0,0,0
9,The Starling,Um Ninho para Dois,[18],https://image.tmdb.org/t/p/w500/sv20mmXS7nBkoEePDxZ3GlkdYcp.jpg,movie,1.0783,5,6.9,309,104,,"['CA', 'US']","['friendship', 'marriage', 'loss', 'grief', 'bird', 'starling']",Theodore Melfi,2,0,0,0,0,0,0,0
