CleanTitle,Profile Name,WatchedTime,watched_time_dawn,watched_time_morning,watched_time_afternoon,watched_time_night,count_per_title,last_watched_date,first_watched_date,seg_views,ter_views,qua_views,qui_views,sex_views,sab_views,dom_views,jan_views,fev_views,mar_views,abr_views,mai_views,jun_views,jul_views,ago_views,set_views,out_views,nov_views,dez_views,netflix_title,title,genre_ids,poster_path,media_type,popularity,age_of_title,vote_average,vote_count,run_time,num_seasons,origin_country,keywords,director,content_rating,is_natalino,is_super_heroi,is_dorama,is_kids,is_dystopian,is_based_on_book,is_anime,nota,avg_duration_per_session,day_between,is_tv,is_in_list,has_rated,engagement_score,is_mature,watched_time
parenthood - minha família,Anas,3 days 01:06:54,105954.0,3994.0,20029.0,133237.0,185,,,48,34,19,35,17,18,14,0,0,0,0,0,0,0,42,59,46,17,21,parenthood - minha família,Parenthood - Minha Família,[18],https://image.tmdb.org/t/p/w500/v9dbPtRxWYj6Ch9kPerhks0XoH7.jpg,tv,38.8553,16,7.471,170,,6,['US'],"['big family', 'family drama']",-1,3,0,0,0,0,0,0,0,5.9865079365079366,0 days 00:23:42.778378378,,1,0,0,7.993253968253969,1,263214.0
better call saul,Léo,2 days 06:12:57,33781.0,4123.0,73667.0,83606.0,210,,,35,46,19,25,32,22,31,0,0,0,0,0,100,110,0,0,0,0,0,better call saul,Better Call Saul,"[80, 18]",https://image.tmdb.org/t/p/w500/9IPVuAjodjc2FYluWnNvRdOPsCR.jpg,tv,87.9953,11,8.704,6312,,6,['US'],"['new mexico', 'moral conflict', 'crooked lawyer', 'prequel', 'romance', 'dark comedy', 'family relationships', 'tragedy', 'lawyer', 'brother against brother', 'spin off', 'cynical', 'neo-western', 'albuquerque, new mexico', 'criminal lawyer', 'fall from grace', 'neo-noir', 'mexican cartel', 'legal drama', 'gritty', 'offbeat']",-1,5,0,0,0,0,0,0,0,5.9865079365079366,0 days 00:15:29.414285714,,1,0,0,7.993253968253969,1,195177.0
breaking bad,Anas,1 days 23:38:36,4756.0,12345.0,108250.0,46165.0,92,,,16,14,10,11,16,17,8,0,0,0,0,0,0,3,58,7,17,7,0,breaking bad,Breaking Bad,"[18, 80]",https://image.tmdb.org/t/p/w500/hGwm9Cj3CdbJIqQWNExQqiYmCd4.jpg,tv,132.4165,18,8.94,17408,,5,['US'],"['new mexico', 'drug dealer', 'narcissism', 'psychopath', 'terminal illness', 'outlaw', 'dark comedy', 'cancer', 'tragedy', 'drugs', 'criminal', 'meth lab', 'drug lord', 'high school teacher', 'dea agent', 'neo-western', 'narcissist', 'albuquerque, new mexico', 'criminal lawyer', 'fall from grace', 'cartel', 'mexican cartel', 'male egos', 'crystal meth', 'dark', 'methamphetamine', 'gritty', 'thriller', 'violent', 'tortured genius']",-1,5,0,0,0,0,0,0,0,7.0,0 days 00:31:04.304347826,,1,1,1,8.5,1,171516.0
stranger things,Léo,1 days 21:27:03,46823.0,9621.0,53460.0,53719.0,127,,,10,38,14,26,17,11,11,2,0,0,0,0,0,0,0,0,0,93,32,stranger things,Stranger Things,"[10765, 9648, 10759]",https://image.tmdb.org/t/p/w500/twfKp60THrcOIep9sjHODOOfO8d.jpg,tv,166.1746,10,8.573,20917,,5,['US'],"['monster', 'small town', 'indiana, usa', 'experiment', 'halloween', 'friendship', 'supernatural', 'coming of age', 'parallel world', 'super power', 'government conspiracy', 'teen drama', '1980s', 'supernatural horror', 'red guards', 'teen horror', 'horror', 'depressing']",-1,3,0,1,0,0,0,0,0,10.0,0 days 00:21:28.370078740,,1,1,1,10.0,1,163623.0
titãs,Anas,1 days 12:04:31,20229.0,7528.0,46860.0,55254.0,68,,,8,3,7,18,13,14,5,0,0,0,0,0,0,22,46,0,0,0,0,titãs,Os Jovens Titãs em Ação!,"[16, 10759, 35, 10751, 10765]",https://image.tmdb.org/t/p/w500/7YAFoSGn6gBhZFzuWhHaGa3jJOi.jpg,tv,74.3529,13,6.5,691,[11],9,['US'],"['slapstick comedy', 'superhero', 'based on comic', 'parody', 'based on cartoon', 'madcap comedy', 'superhero team', 'pathetic', 'absurdist humor', 'disgusted', 'dc elseworlds']",-1,1,0,1,0,0,0,1,0,5.9865079365079366,0 days 00:31:49.867647058,,1,0,0,7.993253968253969,0,129871.0
eu não sou mendoza,Anas,1 days 04:46:04,27471.0,0.0,10637.0,65456.0,71,,,3,5,15,12,1,19,16,0,0,0,0,33,38,0,0,0,0,0,0,eu não sou mendoza,Eu Não Sou Mendoza,"[18, 35]",https://image.tmdb.org/t/p/w500/iikwhp7QhPrdmbchAmIVSYQIArq.jpg,tv,1.003,1,7.7,14,,1,['MX'],"['doppelgänger', 'kidnapped']",-1,5,0,0,0,0,0,0,0,5.9865079365079366,0 days 00:24:18.647887323,,1,0,0,7.993253968253969,1,103564.0
ginny e georgia,Anas,1 days 03:45:58,38161.0,4778.0,18313.0,38706.0,51,,,10,2,15,5,6,8,5,0,0,0,0,0,2,49,0,0,0,0,0,ginny e georgia,Ginny e Georgia,"[35, 18]",https://image.tmdb.org/t/p/w500/uKval7QmEozy7R05FEvE3H9Qice.jpg,tv,23.5356,5,8.049,1762,,4,['US'],"['femme fatale', 'romance', 'neighbor', 'female protagonist', 'motorcycle gang', 'childhood sexual abuse', 'town mayor', 'teenage romance', 'teen drama', 'dramedy', 'abuse', 'self-harm', 'abusive boyfriend', 'defraud', 'mother daughter relationship', 'abused woman', 'guns', 'high school drama', 'abused child', 'gay theme', 'child sexual abuse', 'dramatic']",-1,3,0,0,0,0,0,0,0,5.9865079365079366,0 days 00:32:39.960784313,,1,0,0,7.993253968253969,1,99958.0
você,Anas,1 days 01:21:45,1885.0,2009.0,44885.0,42526.0,50,,,0,0,14,0,11,9,16,0,0,0,1,28,15,6,0,0,0,0,0,você,Por Você,[18],https://image.tmdb.org/t/p/w500/xLTXVtr6W9udicYjeaTheLMyROv.jpg,tv,126.4878,0,8.038,40,[45],1,['CN'],"['marriage of convenience', 'romance', 'historical fiction', 'curious', 'costume drama', 'based on web novel', 'admiring', 'celebratory', 'embarrassed', 'euphoric', 'gentle']",-1,-1,0,0,0,0,0,0,0,5.9865079365079366,0 days 00:30:26.100000,,1,0,0,7.993253968253969,0,91305.0
alquimia das almas,Jose,0 days 22:54:32,20246.0,7075.0,15194.0,39957.0,38,,,12,4,0,0,4,8,10,0,0,0,0,0,0,0,0,0,0,12,26,alquimia das almas,Alquimia das Almas,"[18, 10765, 10759, 9648]",https://image.tmdb.org/t/p/w500/1PmLJGwX61w32dlu4bwmxtizWwt.jpg,tv,25.5005,4,8.554,752,[75],2,['KR'],"['martial arts', 'assassin', 'hero', 'prince', 'secret organization', 'body exchange', 'supernatural', 'love', 'romance', 'female assassin', 'historical fiction', 'martial arts master', 'body-swap', 'alchemy', 'wizard', 'hidden identity', 'soul transference', 'cheerful girl', 'sentimental', 'hilarious', 'master apprentice relationship', 'awestruck']",-1,3,0,0,1,0,0,0,0,5.9865079365079366,0 days 00:36:10.315789473,,1,0,0,7.993253968253969,1,82472.0
alice in borderland,Anas,0 days 19:54:36,1253.0,0.0,55784.0,14639.0,36,,,0,0,6,2,11,6,11,0,27,0,0,0,0,0,0,0,0,9,0,alice in borderland,Alice in Borderland,"[9648, 18, 10759]",https://image.tmdb.org/t/p/w500/i0i7kGDrArtM1sCd8niZDC7iboV.jpg,tv,39.2771,6,8.11,2639,,3,['JP'],"['fight', 'supernatural', 'survival', 'tokyo, japan', 'psychological thriller', 'game', 'based on graphic novel', 'quest', 'wonder', 'live action remake', 'suspenseful', 'brisk', 'urgent']",-1,5,0,0,0,0,0,1,0,5.9865079365079366,0 days 00:33:11,,1,0,0,7.993253968253969,1,71676.0
