,Duration,Start Time,Profile Name,Country,Bookmark,Latest Bookmark,Supplemental Video Type,Attributes,Device Type,Title,dia_da_semana,mes_do_ano,morning,afternoon,night,dawn
1,0 days 00:31:23,2026-01-09 01:00:53+00:00,Anas,BR (Brazil),00:32:44,00:32:44,,Autoplayed: user action: User_Interaction; ,LG DTV 2020 RTK K6Lp UHD TV Smart TV,Amor no Escritório: Temporada 1: Sex shop (episódio 5),4,1,,,,0 days 00:31:23
2,0 days 00:32:29,2026-01-09 00:28:22+00:00,Anas,BR (Brazil),00:32:35,00:32:35,,,LG DTV 2020 RTK K6Lp UHD TV Smart TV,Amor no Escritório: Temporada 1: Festa (episódio 4),4,1,,,,0 days 00:32:29
10,0 days 00:00:04,2026-01-08 17:55:01+00:00,Anas,BR (Brazil),00:00:08,Not latest view,,Autoplayed: user action: None; ,LG DTV 2020 RTK K6Lp UHD TV Smart TV,Amor no Escritório: Temporada 1: Festa (episódio 4),3,1,,0 days 00:00:04,,
11,0 days 00:34:46,2026-01-08 17:19:57+00:00,Anas,BR (Brazil),00:34:49,00:34:49,,,LG DTV 2020 RTK K6Lp UHD TV Smart TV,Amor no Escritório: Temporada 1: Lua de mel (episódio 3),3,1,,0 days 00:34:46,,
12,0 days 00:34:11,2026-01-08 16:45:44+00:00,Anas,BR (Brazil),00:34:15,00:34:15,,,LG DTV 2020 RTK K6Lp UHD TV Smart TV,Amor no Escritório: Temporada 1: O apontador de lápis (episódio 2),3,1,,0 days 00:34:11,,
13,0 days 00:36:18,2026-01-08 16:04:22+00:00,Anas,BR (Brazil),00:35:23,00:35:23,,,LG DTV 2020 RTK K6Lp UHD TV Smart TV,Amor no Escritório: Temporada 1: Amor frutífero (episódio 1),3,1,,0 days 00:36:18,,
17,0 days 00:06:39,2026-01-07 23:21:37+00:00,Léo,BR (Brazil),00:36:36,00:36:36,,,Firefox PC (Cadmium),Doze homens e outro segredo,2,1,,,0 days 00:06:39,
18,0 days 00:12:09,2026-01-07 01:50:01+00:00,Jose,BR (Brazil),00:12:13,00:12:13,,,Samsung 2017 Kant-M UHD TV Smart TV,Clickbait: Minissérie: A irmã (episódio 1),2,1,,,,0 days 00:12:09
19,0 days 00:15:19,2026-01-07 01:20:13+00:00,Anas,BR (Brazil),00:34:59,00:34:59,,,LG DTV 2020 RTK K6Lp UHD TV Smart TV,Recruta: Temporada 2: E.N.Q.M.P.D. (episódio 6),2,1,,,,0 days 00:15:19
20,0 days 00:04:54,2026-01-07 01:15:09+00:00,Anas,BR (Brazil),01:05:08,01:05:08,,,LG DTV 2020 RTK K6Lp UHD TV Smart TV,Beijo Explosivo: Minissérie: Beijo Explosivo (episódio 14),2,1,,,,0 days 00:04:54
23,0 days 00:16:07,2026-01-07 00:58:27+00:00,Anas,BR (Brazil),00:16:07,00:16:07,,,LG DTV 2020 RTK K6Lp UHD TV Smart TV,Machos Alfa: Temporada 1: Em desconstrução (episódio 1),2,1,,,,0 days 00:16:07
28,0 days 00:20:44,2026-01-06 20:29:29+00:00,Anas,BR (Brazil),00:20:47,00:20:47,,,LG DTV 2020 RTK K6Lp UHD TV Smart TV,Isso é um Bolo? Halloween: Temporada 1: Uma vitória de arrepiar (episódio 4),1,1,,,0 days 00:20:44,
29,0 days 00:38:57,2026-01-06 19:50:30+00:00,Anas,BR (Brazil),00:39:00,00:39:00,,,LG DTV 2020 RTK K6Lp UHD TV Smart TV,Isso é um Bolo? Halloween: Temporada 1: Willy Wonka? (episódio 3),1,1,,,0 days 00:38:57,
30,0 days 00:02:25,2026-01-06 19:48:02+00:00,Anas,BR (Brazil),00:37:18,00:37:18,,,LG DTV 2020 RTK K6Lp UHD TV Smart TV,Isso é um Bolo? Halloween: Temporada 1: Objetos de bruxa (episódio 2),1,1,,,0 days 00:02:25,
32,0 days 00:48:19,2026-01-06 18:54:48+00:00,Anas,BR (Brazil),00:48:19,00:48:19,,,LG DTV 2020 RTK K6Lp UHD TV Smart TV,Love 101: Temporada 2: Episódio 8 (episódio 8),1,1,,,0 days 00:48:19,
33,0 days 00:46:20,2026-01-06 17:52:15+00:00,Anas,BR (Brazil),00:46:20,00:46:20,,Autoplayed: user action: User_Interaction; ,LG DTV 2020 RTK K6Lp UHD TV Smart TV,Love 101: Temporada 2: Episódio 7 (episódio 7),1,1,,0 days 00:46:20,,
34,0 days 00:48:36,2026-01-06 17:03:13+00:00,Anas,BR (Brazil),00:48:18,00:48:18,,,LG DTV 2020 RTK K6Lp UHD TV Smart TV,Love 101: Temporada 2: Episódio 6 (episódio 6),1,1,,0 days 00:48:36,,
45,0 days 00:00:03,2026-01-06 16:02:50+00:00,Jose,BR (Brazil),00:00:03,00:00:03,,,Amazon Fire TV Stick 2020 Lite Streaming Stick,Inacreditável: Minissérie: Episódio 1 (episódio 1),1,1,,0 days 00:00:03,,
46,0 days 00:01:30,2026-01-06 16:01:09+00:00,Jose,BR (Brazil),00:01:45,Not latest view,,,Amazon Fire TV Stick 2020 Lite Streaming Stick,Inacreditável: Minissérie: Episódio 1 (episódio 1),1,1,,0 days 00:01:30,,
53,0 days 00:00:10,2026-01-06 15:56:21+00:00,Jose,BR (Brazil),00:00:10,00:00:10,,,Amazon Fire TV Stick 2020 Lite Streaming Stick,Duas Covas: Minissérie: Parte I (episódio 1),1,1,,0 days 00:00:10,,
57,0 days 00:03:50,2026-01-06 15:50:24+00:00,Jose,BR (Brazil),00:03:50,00:03:50,,,Amazon Fire TV Stick 2020 Lite Streaming Stick,Terra de Pecados: Minissérie: Você Foi Avisado (episódio 1),1,1,,0 days 00:03:50,,
62,0 days 00:00:24,2026-01-06 04:07:16+00:00,Léo,BR (Brazil),00:31:58,Not latest view,,,Firefox PC (Cadmium),Doze homens e outro segredo,1,1,,,,0 days 00:00:24
63,0 days 00:00:01,2026-01-06 01:43:34+00:00,Léo,BR (Brazil),00:31:33,Not latest view,,,Firefox PC (Cadmium),Doze homens e outro segredo,1,1,,,,0 days 00:00:01
64,0 days 01:40:56,2026-01-06 00:32:30+00:00,Jose,BR (Brazil),01:51:09,01:51:09,,,Amazon Fire TV Stick 2020 Lite Streaming Stick,Hanna,1,1,,,,0 days 01:40:56
67,0 days 00:38:26,2026-01-06 00:29:20+00:00,Anas,BR (Brazil),00:48:26,00:48:26,,,LG DTV 2020 RTK K6Lp UHD TV Smart TV,Love 101: Temporada 2: Episódio 5 (episódio 5),1,1,,,,0 days 00:38:26
72,0 days 00:49:07,2026-01-05 23:38:20+00:00,Jose,BR (Brazil),00:49:17,00:49:17,,,Amazon Fire TV Stick 2020 Lite Streaming Stick,Cidade de Sombras: Minissérie: Sagrada Família (episódio 6),0,1,,,0 days 00:49:07,
73,0 days 00:22:52,2026-01-05 23:14:34+00:00,Jose,BR (Brazil),00:43:47,00:43:47,,,Amazon Fire TV Stick 2020 Lite Streaming Stick,Cidade de Sombras: Minissérie: Pavilhões Güell (episódio 5),0,1,,,0 days 00:22:52,
75,0 days 00:13:16,2026-01-05 22:37:54+00:00,Jose,BR (Brazil),00:16:08,Not latest view,,,Amazon Fire TV Stick 2020 Lite Streaming Stick,Cidade de Sombras: Minissérie: Pavilhões Güell (episódio 5),0,1,,,0 days 00:13:16,
76,0 days 00:24:51,2026-01-05 22:11:49+00:00,Jose,BR (Brazil),00:42:32,00:42:32,,,Amazon Fire TV Stick 2020 Lite Streaming Stick,Cidade de Sombras: Minissérie: Parque Güell (episódio 4),0,1,,,0 days 00:24:51,
77,0 days 00:28:33,2026-01-05 21:41:29+00:00,Jose,BR (Brazil),00:42:12,00:42:12,,,Amazon Fire TV Stick 2020 Lite Streaming Stick,Cidade de Sombras: Minissérie: Cripta da Colônia Güell (episódio 3),0,1,,,0 days 00:28:33,
78,0 days 00:43:12,2026-01-05 20:57:50+00:00,Jose,BR (Brazil),00:45:59,00:45:59,,,Amazon Fire TV Stick 2020 Lite Streaming Stick,Cidade de Sombras: Minissérie: Palácio Güell (episódio 2),0,1,,,0 days 00:43:12,
79,0 days 00:21:22,2026-01-05 20:36:20+00:00,Jose,BR (Brazil),00:38:19,00:38:19,,,Amazon Fire TV Stick 2020 Lite Streaming Stick,Cidade de Sombras: Minissérie: Casa Milà - La Pedrera (episódio 1),0,1,,,0 days 00:21:22,
80,0 days 00:09:46,2026-01-05 18:26:49+00:00,Jose,BR (Brazil),00:17:18,Not latest view,,,Amazon Fire TV Stick 2020 Lite Streaming Stick,Cidade de Sombras: Minissérie: Casa Milà - La Pedrera (episódio 1),0,1,,,0 days 00:09:46,
83,0 days 00:21:24,2026-01-05 17:53:30+00:00,Léo,BR (Brazil),00:31:32,Not latest view,,,Firefox PC (Cadmium),Doze homens e outro segredo,0,1,,0 days 00:21:24,,
84,0 days 00:07:36,2026-01-05 17:37:33+00:00,Jose,BR (Brazil),00:07:36,Not latest view,,,Amazon Fire TV Stick 2020 Lite Streaming Stick,Cidade de Sombras: Minissérie: Casa Milà - La Pedrera (episódio 1),0,1,,0 days 00:07:36,,
87,0 days 00:10:05,2026-01-05 17:35:23+00:00,Anas,BR (Brazil),00:10:05,Not latest view,,,LG DTV 2020 RTK K6Lp UHD TV Smart TV,Love 101: Temporada 2: Episódio 5 (episódio 5),0,1,,0 days 00:10:05,,
88,0 days 00:34:46,2026-01-05 17:00:16+00:00,Anas,BR (Brazil),00:44:36,00:44:36,,,LG DTV 2020 RTK K6Lp UHD TV Smart TV,Love 101: Temporada 2: Episódio 4 (episódio 4),0,1,,0 days 00:34:46,,
89,0 days 00:42:12,2026-01-05 16:53:57+00:00,Jose,BR (Brazil),00:41:53,00:41:53,,,Amazon Fire TV Stick 2020 Lite Streaming Stick,Depois da Cabana: Minissérie: Pela Lena (episódio 6),0,1,,0 days 00:42:12,,
90,0 days 00:01:43,2026-01-05 16:40:41+00:00,Léo,BR (Brazil),00:11:39,Not latest view,,,Samsung 2017 Kant-M UHD TV Smart TV,Doze homens e outro segredo,0,1,,0 days 00:01:43,,
91,0 days 00:43:38,2026-01-05 15:34:07+00:00,Jose,BR (Brazil),00:43:27,00:43:27,,,Amazon Fire TV Stick 2020 Lite Streaming Stick,Depois da Cabana: Minissérie: Presentes (episódio 5),0,1,,0 days 00:43:38,,
